0,1,2
255,255,255
254,254,254
255,255,255
254,254,254
245,245,247
239,239,241
239,239,241
239,239,241
239,238,243
240,239,244
239,238,243
242,241,246
244,243,249
245,244,250
246,245,251
191,194,199
168,175,181
239,248,253
240,245,249
246,246,248
250,242,240
248,244,243
239,246,254
239,247,250
248,244,233
234,221,202
169,149,125
74,65,50
120,130,140
201,213,227
176,167,170
78,69,70
58,72,83
190,207,217
235,231,232
222,213,208
166,167,162
134,136,131
136,131,127
135,135,137
173,189,204
220,233,241
235,225,213
155,142,125
130,128,131
130,138,149
133,150,160
163,171,173
215,194,175
162,144,124
161,171,173
204,215,219
221,207,198
149,135,124
161,170,169
184,196,196
162,152,143
68,61,53
152,167,174
122,137,144
96,85,83
74,63,67
76,93,119
117,142,172
194,207,223
233,241,243
240,245,238
249,246,227
195,170,140
99,81,61
86,93,109
147,160,176
242,235,225
252,240,224
228,228,228
213,223,222
199,222,204
221,235,220
162,146,156
174,153,168
185,185,187
179,183,182
145,140,144
205,198,205
155,150,154
173,172,170
216,216,208
234,231,222
157,152,148
139,133,135
130,127,134
103,107,118
53,65,81
119,135,150
209,221,235
237,244,254
243,244,248
246,246,248
244,243,248
242,245,250
242,245,252
211,216,222
150,155,161
231,236,240
244,245,250
244,245,249
247,247,249
246,246,248
243,244,248
242,243,247
197,200,205
165,172,178
177,192,199
176,188,188
186,187,171
187,169,119
211,168,66
255,224,95
255,228,96
255,230,98
227,192,66
191,166,73
195,194,164
183,191,194
173,176,183
140,144,153
141,150,159
239,248,255
242,246,249
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,245,247
245,244,249
245,240,247
214,219,239
156,179,220
116,155,212
106,157,223
95,155,227
86,150,224
91,160,229
87,152,216
101,157,208
143,179,211
194,215,236
233,244,255
229,243,255
148,175,222
97,138,204
72,124,210
90,144,230
131,172,238
214,245,255
229,246,255
242,250,253
247,247,239
246,244,232
248,245,238
245,246,241
244,245,249
242,246,249
244,245,249
245,245,243
245,244,239
253,239,236
214,176,187
107,79,94
200,212,224
217,242,249
241,251,250
249,242,236
255,232,225
234,215,208
185,194,193
172,197,194
158,185,180
128,145,137
123,118,112
91,81,80
94,94,106
158,163,167
227,229,207
